Series_Title,Year,title_norm,kg_id,imdb_id,kg_release_date,kg_vote_avg,kg_vote_count,_matched_key
"Lock, Stock and Two Smoking Barrels",1998,lock stock and two smoking barrels,100.0,tt0120735,1998-03-05,7.5,1671.0,title_norm
L.A. Confidential,1997,la confidential,2118.0,tt0119488,1997-09-19,7.7,1340.0,title_norm
Eskiya,1996,eskiya,,,,,,
Heat,1995,heat,949.0,tt0113277,1995-12-15,7.7,1886.0,title_norm
Casino,1995,casino,524.0,tt0112641,1995-11-22,7.8,1343.0,title_norm
Andaz Apna Apna,1994,andaz apna apna,58128.0,tt0109117,1994-04-11,7.6,51.0,title_norm
Unforgiven,1992,unforgiven,33.0,tt0105695,1992-08-07,7.7,1133.0,title_norm
Indiana Jones and the Last Crusade,1989,indiana jones and the last crusade,89.0,tt0097576,1989-05-24,7.6,3221.0,title_norm
Dom za vesanje,1988,dom za vesanje,,,,,,
Tonari no Totoro,1988,tonari no totoro,,,,,,
Die Hard,1988,die hard,562.0,tt0095016,1988-07-15,7.5,4005.0,title_norm
Ran,1985,ran,11645.0,tt0089881,1985-06-01,7.9,349.0,title_norm
Raging Bull,1980,raging bull,1578.0,tt0081398,1980-11-14,7.7,968.0,title_norm
Stalker,1979,stalker,1398.0,tt0079944,1979-04-16,7.8,356.0,title_norm
Höstsonaten,1978,höstsonaten,12761,tt0077711,1978-10-08,7.8,83.0,original_title_norm
The Message,1976,the message,86997.0,tt0075143,1976-03-09,7.6,11.0,title_norm
Sholay,1975,sholay,12259.0,tt0073707,1975-08-15,6.9,58.0,title_norm
Monty Python and the Holy Grail,1975,monty python and the holy grail,762.0,tt0071853,1975-03-13,7.8,1742.0,title_norm
The Great Escape,1963,the great escape,5925.0,tt0057115,1963-06-20,7.8,731.0,title_norm
To Kill a Mockingbird,1962,to kill a mockingbird,595.0,tt0056592,1962-12-25,7.9,676.0,title_norm
Yôjinbô,1961,yôjinbô,,,,,,
Judgment at Nuremberg,1961,judgment at nuremberg,821.0,tt0055031,1961-12-01,7.6,161.0,title_norm
Some Like It Hot,1959,some like it hot,239.0,tt0053291,1959-03-18,8.0,835.0,title_norm
Smultronstället,1957,smultronstället,614,tt0050986,1957-12-26,7.9,306.0,original_title_norm
Det sjunde inseglet,1957,det sjunde inseglet,490,tt0050976,1957-02-16,7.9,569.0,original_title_norm
Du rififi chez les hommes,1955,du rififi chez les hommes,934,tt0048021,1955-04-13,7.7,90.0,original_title_norm
Dial M for Murder,1954,dial m for murder,521.0,tt0046912,1954-05-29,7.9,539.0,title_norm
Tôkyô monogatari,1953,tôkyô monogatari,,,,,,
Rashômon,1950,rashômon,,,,,,
All About Eve,1950,all about eve,705.0,tt0042192,1950-11-09,8.0,367.0,title_norm
The Treasure of the Sierra Madre,1948,the treasure of the sierra madre,3090.0,tt0040897,1948-01-24,7.9,285.0,title_norm
To Be or Not to Be,1942,to be or not to be,198.0,tt0035446,1942-03-05,7.7,119.0,title_norm
The Gold Rush,1925,the gold rush,962.0,tt0015864,1925-06-25,7.7,308.0,title_norm
Sherlock Jr.,1924,sherlock jr,992.0,tt0015324,1924-04-21,8.1,134.0,title_norm
Portrait de la jeune fille en feu,2019,portrait de la jeune fille en feu,,,,,,
Pink,2016,pink,415358.0,tt5571734,2016-09-16,8.0,39.0,title_norm
Koe no katachi,2016,koe no katachi,,,,,,
Contratiempo,2016,contratiempo,411088,tt4857264,2016-12-15,8.1,395.0,original_title_norm
Ah-ga-ssi,2016,ahgassi,,,,,,
Mommy,2014,mommy,265177.0,tt3612616,2014-05-22,8.2,734.0,title_norm
Haider,2014,haider,280795.0,tt3390572,2014-10-02,7.2,65.0,title_norm
Logan,2017,logan,263115.0,tt3315342,2017-02-28,7.6,6310.0,title_norm
Room,2015,room,264644.0,tt3170832,2015-10-16,8.1,2838.0,title_norm
Relatos salvajes,2014,relatos salvajes,265195,tt3011894,2014-08-21,7.7,878.0,original_title_norm
Soul,2020,soul,,,,,,
Kis Uykusu,2014,kis uykusu,,,,,,
PK,2014,pk,297222.0,tt2338151,2014-12-18,7.7,262.0,title_norm
OMG: Oh My God!,2012,omg oh my god,135718.0,tt2283748,2012-09-28,7.1,42.0,title_norm
The Grand Budapest Hotel,2014,the grand budapest hotel,120467.0,tt2278388,2014-02-26,8.0,4644.0,title_norm
Gone Girl,2014,gone girl,210577.0,tt2267998,2014-10-01,7.9,6023.0,title_norm
Ôkami kodomo no Ame to Yuki,2012,ôkami kodomo no ame to yuki,,,,,,
Hacksaw Ridge,2016,hacksaw ridge,324786.0,tt2119532,2016-10-07,7.8,3294.0,title_norm
Inside Out,2015,inside out,150540.0,tt2096673,2015-06-09,7.9,6737.0,title_norm
Barfi!,2012,barfi,127501.0,tt2082197,2012-09-14,7.2,84.0,title_norm
12 Years a Slave,2013,12 years a slave,76203.0,tt2024544,2013-10-18,7.9,3787.0,title_norm
Rush,2013,rush,96721.0,tt1979320,2013-09-02,7.7,2310.0,title_norm
Ford v Ferrari,2019,ford v ferrari,,,,,,
Spotlight,2015,spotlight,314365.0,tt1895587,2015-11-06,7.8,2751.0,title_norm
Song of the Sea,2014,song of the sea,110416.0,tt1865505,2014-09-06,8.1,420.0,title_norm
Kahaani,2012,kahaani,82825.0,tt1821480,2012-03-09,7.3,61.0,title_norm
Zindagi Na Milegi Dobara,2011,zindagi na milegi dobara,61202.0,tt1562872,2011-07-15,7.6,83.0,title_norm
Prisoners,2013,prisoners,146233.0,tt1392214,2013-09-18,7.9,3183.0,title_norm
Mad Max: Fury Road,2015,mad max fury road,76341.0,tt1392190,2015-05-13,7.3,9629.0,title_norm
A Wednesday,2008,a wednesday,19703.0,tt1280558,2008-09-05,7.0,61.0,title_norm
Gran Torino,2008,gran torino,13223.0,tt1205489,2008-12-09,7.8,3181.0,title_norm
Harry Potter and the Deathly Hallows: Part 2,2011,harry potter and the deathly hallows part 2,12445.0,tt1201607,2011-07-07,7.9,6141.0,title_norm
Okuribito,2008,okuribito,,,,,,
